Date,High,Low,Open,Close,Volume,Adj Close
2019-09-20,10114.1796875,10056.099609375,10114.1796875,10056.830078125,132781100.0,10056.830078125
2019-09-23,10046.83984375,9957.8203125,10046.400390625,9997.3896484375,59763700.0,9997.3896484375
2019-09-24,10044.8603515625,9977.7802734375,10019.01953125,9991.3095703125,59510500.0,9991.3095703125
2019-09-25,9934.98046875,9837.2001953125,9926.2001953125,9914.8203125,80012100.0,9914.8203125
2019-09-26,10032.6904296875,9906.33984375,9907.2099609375,10010.7099609375,60579300.0,10010.7099609375
2019-09-27,10071.4599609375,10020.4404296875,10055.5498046875,10037.8095703125,51008400.0,10037.8095703125
2019-09-30,10087.849609375,10012.900390625,10028.4501953125,10078.3203125,54900100.0,10078.3203125
2019-10-01,10124.2197265625,9928.66015625,10101.5302734375,9952.5,70981300.0,9952.5
2019-10-02,9931.599609375,9753.08984375,9930.2998046875,9757.2802734375,90683600.0,9757.2802734375
2019-10-03,9796.5,9682.3603515625,9762.490234375,9760.4404296875,74670000.0,9760.4404296875
2019-10-04,9842.2001953125,9749.48046875,9793.3798828125,9827.7197265625,57993300.0,9827.7197265625
2019-10-07,9931.1298828125,9829.2001953125,9849.080078125,9914.0595703125,49919700.0,9914.0595703125
2019-10-08,9922.3701171875,9779.4501953125,9904.1298828125,9800.240234375,65556200.0,9800.240234375
2019-10-09,9880.6796875,9777.919921875,9792.7001953125,9830.0498046875,52556600.0,9830.0498046875
2019-10-10,9914.5595703125,9796.6904296875,9832.0595703125,9903.01953125,59297000.0,9903.01953125
2019-10-11,10027.8701171875,9906.830078125,9913.3701171875,10017.3896484375,67320800.0,10017.3896484375
2019-10-14,9976.5595703125,9893.6298828125,9947.2998046875,9964.240234375,46697200.0,9964.240234375
2019-10-15,10076.349609375,9970.099609375,10014.8603515625,10048.75,52684400.0,10048.75
2019-10-16,10082.16015625,10000.9296875,10071.490234375,10032.490234375,55178900.0,10032.490234375
2019-10-17,10096.48046875,10002.650390625,10023.990234375,10008.9404296875,57861900.0,10008.9404296875
2019-10-18,10015.509765625,9958.3203125,9991.330078125,9965.490234375,55178600.0,9965.490234375
2019-10-21,10026.009765625,9955.099609375,9969.3701171875,9991.419921875,65933000.0,9991.419921875
